scenario_id,model_a,model_b,length_delta,jaccard_overlap
MC21-001-F,gemma:2b-instruct,llama3:8b,104,0.168
MC21-001-F,gemma:2b-instruct,mistral:7b-instruct,1041,0.146
MC21-001-F,gemma:2b-instruct,orca-mini:7b,1415,0.102
MC21-001-F,gemma:2b-instruct,phi3:mini,175,0.193
MC21-001-F,llama3:8b,mistral:7b-instruct,1145,0.210
MC21-001-F,llama3:8b,orca-mini:7b,1519,0.121
MC21-001-F,llama3:8b,phi3:mini,279,0.227
MC21-001-F,mistral:7b-instruct,orca-mini:7b,374,0.224
MC21-001-F,mistral:7b-instruct,phi3:mini,866,0.157
MC21-001-F,orca-mini:7b,phi3:mini,1240,0.079
MC21-001-N,gemma:2b-instruct,llama3:8b,259,0.186
MC21-001-N,gemma:2b-instruct,mistral:7b-instruct,168,0.188
MC21-001-N,gemma:2b-instruct,orca-mini:7b,82,0.179
MC21-001-N,gemma:2b-instruct,phi3:mini,95,0.230
MC21-001-N,llama3:8b,mistral:7b-instruct,91,0.271
MC21-001-N,llama3:8b,orca-mini:7b,177,0.247
MC21-001-N,llama3:8b,phi3:mini,164,0.278
MC21-001-N,mistral:7b-instruct,orca-mini:7b,86,0.260
MC21-001-N,mistral:7b-instruct,phi3:mini,73,0.288
MC21-001-N,orca-mini:7b,phi3:mini,13,0.293
MC21-001-S,gemma:2b-instruct,llama3:8b,12,0.218
MC21-001-S,gemma:2b-instruct,mistral:7b-instruct,644,0.181
MC21-001-S,gemma:2b-instruct,orca-mini:7b,1364,0.120
MC21-001-S,gemma:2b-instruct,phi3:mini,193,0.199
MC21-001-S,llama3:8b,mistral:7b-instruct,656,0.271
MC21-001-S,llama3:8b,orca-mini:7b,1376,0.187
MC21-001-S,llama3:8b,phi3:mini,205,0.273
MC21-001-S,mistral:7b-instruct,orca-mini:7b,720,0.248
MC21-001-S,mistral:7b-instruct,phi3:mini,451,0.281
MC21-001-S,orca-mini:7b,phi3:mini,1171,0.148
MC21-002-F,gemma:2b-instruct,llama3:8b,23,0.262
MC21-002-F,gemma:2b-instruct,mistral:7b-instruct,886,0.247
MC21-002-F,gemma:2b-instruct,orca-mini:7b,1135,0.212
MC21-002-F,gemma:2b-instruct,phi3:mini,1127,0.160
MC21-002-F,llama3:8b,mistral:7b-instruct,909,0.246
MC21-002-F,llama3:8b,orca-mini:7b,1158,0.209
MC21-002-F,llama3:8b,phi3:mini,1150,0.209
MC21-002-F,mistral:7b-instruct,orca-mini:7b,249,0.250
MC21-002-F,mistral:7b-instruct,phi3:mini,241,0.226
MC21-002-F,orca-mini:7b,phi3:mini,8,0.200
MC21-002-N,gemma:2b-instruct,llama3:8b,103,0.215
MC21-002-N,gemma:2b-instruct,mistral:7b-instruct,181,0.235
MC21-002-N,gemma:2b-instruct,orca-mini:7b,673,0.174
MC21-002-N,gemma:2b-instruct,phi3:mini,210,0.190
MC21-002-N,llama3:8b,mistral:7b-instruct,78,0.308
MC21-002-N,llama3:8b,orca-mini:7b,570,0.272
MC21-002-N,llama3:8b,phi3:mini,107,0.207
MC21-002-N,mistral:7b-instruct,orca-mini:7b,492,0.286
MC21-002-N,mistral:7b-instruct,phi3:mini,29,0.219
MC21-002-N,orca-mini:7b,phi3:mini,463,0.231
MC21-002-S,gemma:2b-instruct,llama3:8b,187,0.171
MC21-002-S,gemma:2b-instruct,mistral:7b-instruct,335,0.178
MC21-002-S,gemma:2b-instruct,orca-mini:7b,1497,0.124
MC21-002-S,gemma:2b-instruct,phi3:mini,401,0.151
MC21-002-S,llama3:8b,mistral:7b-instruct,148,0.230
MC21-002-S,llama3:8b,orca-mini:7b,1310,0.157
MC21-002-S,llama3:8b,phi3:mini,214,0.227
MC21-002-S,mistral:7b-instruct,orca-mini:7b,1162,0.152
MC21-002-S,mistral:7b-instruct,phi3:mini,66,0.171
MC21-002-S,orca-mini:7b,phi3:mini,1096,0.127
MC21-003-F,gemma:2b-instruct,llama3:8b,47,0.201
MC21-003-F,gemma:2b-instruct,mistral:7b-instruct,135,0.185
MC21-003-F,gemma:2b-instruct,orca-mini:7b,1187,0.174
MC21-003-F,gemma:2b-instruct,phi3:mini,114,0.188
MC21-003-F,llama3:8b,mistral:7b-instruct,182,0.249
MC21-003-F,llama3:8b,orca-mini:7b,1234,0.190
MC21-003-F,llama3:8b,phi3:mini,161,0.227
MC21-003-F,mistral:7b-instruct,orca-mini:7b,1052,0.189
MC21-003-F,mistral:7b-instruct,phi3:mini,21,0.202
MC21-003-F,orca-mini:7b,phi3:mini,1073,0.128
MC21-003-N,gemma:2b-instruct,llama3:8b,57,0.163
MC21-003-N,gemma:2b-instruct,mistral:7b-instruct,96,0.207
MC21-003-N,gemma:2b-instruct,orca-mini:7b,104,0.193
MC21-003-N,gemma:2b-instruct,phi3:mini,105,0.139
MC21-003-N,llama3:8b,mistral:7b-instruct,153,0.231
MC21-003-N,llama3:8b,orca-mini:7b,161,0.218
MC21-003-N,llama3:8b,phi3:mini,162,0.197
MC21-003-N,mistral:7b-instruct,orca-mini:7b,8,0.236
MC21-003-N,mistral:7b-instruct,phi3:mini,9,0.209
MC21-003-N,orca-mini:7b,phi3:mini,1,0.226
MC21-003-S,gemma:2b-instruct,llama3:8b,16,0.209
